agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	440213070203201	72019	65248	2001	2	9.86
USGS	440213070203201	72019	65248	2001	3	9.806
USGS	440213070203201	72019	65248	2001	4	8.834
USGS	440213070203201	72019	65248	2001	5	8.69
USGS	440213070203201	72019	65248	2001	6	8.883
USGS	440213070203201	72019	65248	2001	7	9.548
USGS	440213070203201	72019	65248	2001	8	10.254
USGS	440213070203201	72019	65248	2001	9	10.624
USGS	440213070203201	72019	65248	2001	10	10.823
USGS	440213070203201	72019	65248	2001	11	10.787
USGS	440213070203201	72019	65248	2001	12	10.794
USGS	440213070203201	72019	65248	2002	1	10.94
USGS	440213070203201	72019	65248	2002	2	10.947
USGS	440213070203201	72019	65248	2002	3	10.292
USGS	440213070203201	72019	65248	2002	4	9.628
USGS	440213070203201	72019	65248	2002	5	9.467
USGS	440213070203201	72019	65248	2002	7	9.809
USGS	440213070203201	72019	65248	2002	9	10.429
USGS	440213070203201	72019	65248	2002	10	10.415
USGS	440213070203201	72019	65248	2002	11	9.706
USGS	440213070203201	72019	65248	2002	12	9.523
USGS	440213070203201	72019	65248	2003	1	9.707
USGS	440213070203201	72019	65248	2003	2	9.916
USGS	440213070203201	72019	65248	2003	3	9.953
USGS	440213070203201	72019	65248	2003	4	9.202
USGS	440213070203201	72019	65248	2003	5	9.323
USGS	440213070203201	72019	65248	2003	6	9.714
USGS	440213070203201	72019	65248	2003	8	9.95
USGS	440213070203201	72019	65248	2003	9	10.245
USGS	440213070203201	72019	65248	2003	10	9.954
USGS	440213070203201	72019	65248	2003	11	9.524
USGS	440213070203201	72019	65248	2003	12	9.155
USGS	440213070203201	72019	65248	2004	1	9.21
USGS	440213070203201	72019	65248	2004	2	9.712
USGS	440213070203201	72019	65248	2004	3	9.824
USGS	440213070203201	72019	65248	2004	4	9.239
USGS	440213070203201	72019	65248	2004	5	9.315
USGS	440213070203201	72019	65248	2004	6	9.585
USGS	440213070203201	72019	65248	2004	7	10.027
USGS	440213070203201	72019	65248	2004	8	10.003
USGS	440213070203201	72019	65248	2004	9	10.211
USGS	440213070203201	72019	65248	2004	10	10.37
USGS	440213070203201	72019	65248	2004	11	10.385
USGS	440213070203201	72019	65248	2004	12	9.769
USGS	440213070203201	72019	65248	2005	1	9.73
USGS	440213070203201	72019	65248	2005	2	9.956
USGS	440213070203201	72019	65248	2005	3	10.045
USGS	440213070203201	72019	65248	2005	4	8.567
USGS	440213070203201	72019	65248	2005	5	8.378
USGS	440213070203201	72019	65248	2005	6	8.752
USGS	440213070203201	72019	65248	2005	7	9.514
USGS	440213070203201	72019	65248	2005	8	9.831
USGS	440213070203201	72019	65248	2005	9	10.014
USGS	440213070203201	72019	65248	2005	10	9.425
USGS	440213070203201	72019	65248	2005	11	8.924
USGS	440213070203201	72019	65248	2005	12	8.9
USGS	440213070203201	72019	65248	2006	1	8.924
USGS	440213070203201	72019	65248	2006	2	8.994
USGS	440213070203201	72019	65248	2006	3	9.443
USGS	440213070203201	72019	65248	2006	4	9.574
USGS	440213070203201	72019	65248	2006	5	9.273
USGS	440213070203201	72019	65248	2006	6	8.909
USGS	440213070203201	72019	65248	2006	7	9.425
USGS	440213070203201	72019	65248	2006	8	9.797
USGS	440213070203201	72019	65248	2006	9	10.116
USGS	440213070203201	72019	65248	2006	10	9.669
USGS	440213070203201	72019	65248	2006	11	8.817
USGS	440213070203201	72019	65248	2006	12	9.007
USGS	440213070203201	72019	65248	2007	1	9.203
USGS	440213070203201	72019	65248	2007	2	9.635
USGS	440213070203201	72019	65248	2007	3	9.729
USGS	440213070203201	72019	65248	2007	4	8.829
USGS	440213070203201	72019	65248	2007	5	8.943
USGS	440213070203201	72019	65248	2007	6	9.426
