agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	395846077040601	72019	120541	1990	1	11.415
USGS	395846077040601	72019	120541	1990	2	11.478
USGS	395846077040601	72019	120541	1990	3	11.667
USGS	395846077040601	72019	120541	1990	4	11.649
USGS	395846077040601	72019	120541	1990	5	11.292
USGS	395846077040601	72019	120541	1993	10	11.495
USGS	395846077040601	72019	120541	1993	11	11.398
USGS	395846077040601	72019	120541	1993	12	11.407
USGS	395846077040601	72019	120541	1994	1	11.747
USGS	395846077040601	72019	120541	1994	2	11.157
USGS	395846077040601	72019	120541	1994	3	10.8
USGS	395846077040601	72019	120541	1994	4	11.512
USGS	395846077040601	72019	120541	1994	5	11.793
USGS	395846077040601	72019	120541	1994	6	12.7
USGS	395846077040601	72019	120541	1994	7	12.629
USGS	395846077040601	72019	120541	1994	8	11.793
USGS	395846077040601	72019	120541	1994	9	12.257
USGS	395846077040601	72019	120541	1994	10	12.136
USGS	395846077040601	72019	120541	1994	11	11.335
USGS	395846077040601	72019	120541	1994	12	11.438
USGS	395846077040601	72019	120541	1995	1	11.333
USGS	395846077040601	72019	120541	1995	2	11.698
USGS	395846077040601	72019	120541	1995	3	11.534
USGS	395846077040601	72019	120541	1995	4	11.954
USGS	395846077040601	72019	120541	1995	5	12.048
USGS	395846077040601	72019	120541	1995	6	12.446
USGS	395846077040601	72019	120541	1995	7	12.216
USGS	395846077040601	72019	120541	1995	8	13.039
USGS	395846077040601	72019	120541	1995	9	13.231
USGS	395846077040601	72019	120541	1995	10	12.438
USGS	395846077040601	72019	120541	1995	11	11.584
USGS	395846077040601	72019	120541	1995	12	11.691
USGS	395846077040601	72019	120541	1996	1	11.226
USGS	395846077040601	72019	120541	1996	4	11.462
USGS	395846077040601	72019	120541	1996	5	11.558
USGS	395846077040601	72019	120541	1996	6	11.491
USGS	395846077040601	72019	120541	1996	7	11.93
USGS	395846077040601	72019	120541	1996	8	11.777
USGS	395846077040601	72019	120541	1996	9	11.597
USGS	395846077040601	72019	120541	1996	10	11.32
USGS	395846077040601	72019	120541	1996	11	11.382
USGS	395846077040601	72019	120541	1996	12	11.19
USGS	395846077040601	72019	120541	1997	1	11.659
USGS	395846077040601	72019	120541	1997	2	11.3
USGS	395846077040601	72019	120541	1997	3	11.238
USGS	395846077040601	72019	120541	1997	4	11.754
USGS	395846077040601	72019	120541	1997	5	12.191
USGS	395846077040601	72019	120541	1997	6	12.385
USGS	395846077040601	72019	120541	1997	7	13.079
USGS	395846077040601	72019	120541	1997	11	12.062
USGS	395846077040601	72019	120541	1998	4	11.545
USGS	395846077040601	72019	120541	1998	6	12.415
USGS	395846077040601	72019	120541	1998	8	12.559
USGS	395846077040601	72019	120541	1998	9	12.925
USGS	395846077040601	72019	120541	1998	10	12.585
USGS	395846077040601	72019	120541	1998	11	12.594
USGS	395846077040601	72019	120541	1998	12	12.637
USGS	395846077040601	72019	120541	1999	1	11.851
USGS	395846077040601	72019	120541	1999	2	11.654
USGS	395846077040601	72019	120541	1999	3	11.476
USGS	395846077040601	72019	120541	1999	4	11.49
USGS	395846077040601	72019	120541	1999	5	11.92
USGS	395846077040601	72019	120541	1999	6	12.713
USGS	395846077040601	72019	120541	1999	7	13.239
USGS	395846077040601	72019	120541	1999	8	13.41
USGS	395846077040601	72019	120541	1999	9	12.654
USGS	395846077040601	72019	120541	1999	10	11.586
USGS	395846077040601	72019	120541	1999	11	12.01
USGS	395846077040601	72019	120541	1999	12	11.669
USGS	395846077040601	72019	120541	2000	2	11.435
USGS	395846077040601	72019	120541	2000	3	11.341
USGS	395846077040601	72019	120541	2000	4	11.42
USGS	395846077040601	72019	120541	2000	6	12.155
USGS	395846077040601	72019	120541	2000	7	12.542
USGS	395846077040601	72019	120541	2000	8	12.679
USGS	395846077040601	72019	120541	2000	9	12.211
USGS	395846077040601	72019	120541	2000	10	11.96
USGS	395846077040601	72019	120541	2000	11	12.08
USGS	395846077040601	72019	120541	2000	12	11.777
USGS	395846077040601	72019	120541	2001	1	11.824
USGS	395846077040601	72019	120541	2001	2	11.336
USGS	395846077040601	72019	120541	2001	3	11.215
USGS	395846077040601	72019	120541	2001	4	11.378
USGS	395846077040601	72019	120541	2001	6	12.555
USGS	395846077040601	72019	120541	2001	9	13.262
USGS	395846077040601	72019	120541	2001	10	12.895
USGS	395846077040601	72019	120541	2001	11	12.811
USGS	395846077040601	72019	120541	2001	12	12.574
USGS	395846077040601	72019	120541	2002	1	12.387
USGS	395846077040601	72019	120541	2002	2	12.199
USGS	395846077040601	72019	120541	2002	3	11.765
USGS	395846077040601	72019	120541	2002	4	11.763
USGS	395846077040601	72019	120541	2002	5	11.753
USGS	395846077040601	72019	120541	2002	7	12.868
USGS	395846077040601	72019	120541	2002	8	13.194
USGS	395846077040601	72019	120541	2002	9	12.87
USGS	395846077040601	72019	120541	2002	10	11.589
USGS	395846077040601	72019	120541	2002	11	11.225
USGS	395846077040601	72019	120541	2002	12	11.367
USGS	395846077040601	72019	120541	2003	1	11.678
USGS	395846077040601	72019	120541	2003	2	11.716
USGS	395846077040601	72019	120541	2003	3	11.052
USGS	395846077040601	72019	120541	2003	4	11.465
USGS	395846077040601	72019	120541	2003	5	11.378
USGS	395846077040601	72019	120541	2003	6	11.439
USGS	395846077040601	72019	120541	2003	7	12.498
USGS	395846077040601	72019	120541	2003	8	12.026
USGS	395846077040601	72019	120541	2003	9	11.693
USGS	395846077040601	72019	120541	2003	10	11.321
USGS	395846077040601	72019	120541	2003	11	11.111
USGS	395846077040601	72019	120541	2003	12	11.18
USGS	395846077040601	72019	120541	2004	2	11.24
USGS	395846077040601	72019	120541	2004	3	11.3
USGS	395846077040601	72019	120541	2004	4	11.275
USGS	395846077040601	72019	120541	2004	5	11.538
USGS	395846077040601	72019	120541	2004	6	11.597
USGS	395846077040601	72019	120541	2004	7	12.125
USGS	395846077040601	72019	120541	2004	8	11.542
USGS	395846077040601	72019	120541	2004	9	11.755
USGS	395846077040601	72019	120541	2004	10	11.446
USGS	395846077040601	72019	120541	2004	11	11.216
USGS	395846077040601	72019	120541	2005	2	11.366
USGS	395846077040601	72019	120541	2005	5	11.937
USGS	395846077040601	72019	120541	2005	6	12.028
USGS	395846077040601	72019	120541	2005	7	11.859
USGS	395846077040601	72019	120541	2005	8	12.456
USGS	395846077040601	72019	120541	2005	9	12.718
USGS	395846077040601	72019	120541	2005	10	11.725
USGS	395846077040601	72019	120541	2005	11	11.6
USGS	395846077040601	72019	120541	2005	12	11.334
USGS	395846077040601	72019	120541	2006	1	11.287
USGS	395846077040601	72019	120541	2006	2	11.412
USGS	395846077040601	72019	120541	2006	3	11.815
USGS	395846077040601	72019	120541	2006	4	11.694
USGS	395846077040601	72019	120541	2006	5	12.023
USGS	395846077040601	72019	120541	2006	6	12.101
USGS	395846077040601	72019	120541	2006	7	11.955
USGS	395846077040601	72019	120541	2006	8	12.655
USGS	395846077040601	72019	120541	2006	9	12.042
USGS	395846077040601	72019	120541	2006	10	11.906
USGS	395846077040601	72019	120541	2006	11	11.189
USGS	395846077040601	72019	120541	2006	12	11.557
USGS	395846077040601	72019	120541	2007	1	11.465
USGS	395846077040601	72019	120541	2007	3	11.146
USGS	395846077040601	72019	120541	2007	4	11.533
USGS	395846077040601	72019	120541	2007	5	12.044
USGS	395846077040601	72019	120541	2007	6	12.583
USGS	395846077040601	72019	120541	2007	7	12.955
USGS	395846077040601	72019	120541	2007	8	12.897
USGS	395846077040601	72019	120541	2007	9	12.992
USGS	395846077040601	72019	120541	2007	10	12.845
USGS	395846077040601	72019	120541	2007	11	12.222
USGS	395846077040601	72019	120541	2007	12	11.519
USGS	395846077040601	72019	120541	2008	1	11.715
USGS	395846077040601	72019	120541	2008	2	11.203
USGS	395846077040601	72019	120541	2008	3	11.391
USGS	395846077040601	72019	120541	2008	4	11.482
USGS	395846077040601	72019	120541	2008	5	11.341
USGS	395846077040601	72019	120541	2008	6	12.107
USGS	395846077040601	72019	120541	2008	7	12.584
USGS	395846077040601	72019	120541	2008	8	12.717
USGS	395846077040601	72019	120541	2008	9	12.016
USGS	395846077040601	72019	120541	2008	10	11.782
USGS	395846077040601	72019	120541	2008	11	11.574
USGS	395846077040601	72019	120541	2008	12	11.167
USGS	395846077040601	72019	120541	2009	1	11.744
USGS	395846077040601	72019	120541	2009	2	11.577
USGS	395846077040601	72019	120541	2009	3	11.637
USGS	395846077040601	72019	120541	2009	4	11.297
USGS	395846077040601	72019	120541	2009	5	11.428
USGS	395846077040601	72019	120541	2009	6	11.68
USGS	395846077040601	72019	120541	2009	7	12.433
USGS	395846077040601	72019	120541	2009	8	12.228
USGS	395846077040601	72019	120541	2009	9	11.88
USGS	395846077040601	72019	120541	2009	10	11.467
USGS	395846077040601	72019	120541	2009	11	11.384
USGS	395846077040601	72019	120541	2009	12	11.119
USGS	395846077040601	72019	120541	2010	1	11.462
USGS	395846077040601	72019	120541	2010	2	11.502
USGS	395846077040601	72019	120541	2010	3	11.092
USGS	395846077040601	72019	120541	2010	4	11.671
USGS	395846077040601	72019	120541	2010	5	11.831
USGS	395846077040601	72019	120541	2010	6	12.31
USGS	395846077040601	72019	120541	2010	7	12.776
USGS	395846077040601	72019	120541	2010	8	12.868
USGS	395846077040601	72019	120541	2010	9	12.993
USGS	395846077040601	72019	120541	2010	10	11.628
USGS	395846077040601	72019	120541	2010	11	11.522
USGS	395846077040601	72019	120541	2010	12	11.725
USGS	395846077040601	72019	120541	2011	1	12.13
USGS	395846077040601	72019	120541	2011	2	11.292
USGS	395846077040601	72019	120541	2011	3	11.274
USGS	395846077040601	72019	120541	2011	4	11.183
USGS	395846077040601	72019	120541	2011	5	11.627
USGS	395846077040601	72019	120541	2011	6	12.49
USGS	395846077040601	72019	120541	2011	7	12.872
USGS	395846077040601	72019	120541	2011	8	12.745
USGS	395846077040601	72019	120541	2011	9	10.78
USGS	395846077040601	72019	120541	2011	10	11.009
